Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Team TGT,TGT_share,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY,normalized_line
Kyle Monangai,23,CHI,17,169,400,42.25,783,506,2.99,277,1.64,18,30,79,37.97,164,5,0,5,47.4%,2,0,146.7,8.6,9.2,0.29,0.39,-0.5,-0.1,-2.9,4.97,
Woody Marks,25,HOU,16,196,399,49.12,703,356,1.82,347,1.77,24,36,77,46.75,208,2,3,2,55.0%,5,3,145.1,9.1,11.0,0.31,0.5,-1.9,-0.18,-2.4,4.04,
Jacory Croskey-Merritt,24,WAS,17,175,345,50.72,805,443,2.53,362,2.07,9,13,55,23.64,68,8,0,7,43.7%,1,0,140.3,8.3,7.8,0.47,0.4,0.4,0.07,-3.2,4.45,
Omarion Hampton,22,LAC,9,124,359,34.54,545,355,2.86,190,1.53,32,35,70,50.0,192,4,1,3,42.6%,2,1,135.7,15.1,14.8,0.56,0.6,0.2,-0.04,3.6,4.0,
Cam Skattebo,23,NYG,8,101,396,25.51,410,218,2.16,192,1.9,24,32,99,32.32,207,5,2,5,34.8%,3,2,127.7,16.0,14.4,0.88,0.65,1.6,0.22,4.5,4.41,
Bam Knight,24,ARI,12,82,292,28.08,269,135,1.65,134,1.63,22,31,124,25.0,160,4,1,4,41.0%,4,1,92.9,7.7,9.2,0.42,0.51,-1.5,-0.1,-3.8,4.07,
Bhayshul Tuten,23,JAX,15,83,373,22.25,307,137,1.65,170,2.05,10,14,78,17.95,79,5,2,5,29.8%,2,2,88.6,5.9,5.5,0.47,0.32,0.4,0.15,-5.6,4.2,
Dylan Sampson,21,CLE,15,65,353,18.41,175,75,1.15,100,1.54,33,40,120,33.33,271,0,2,0,14.0%,4,1,87.6,5.8,6.0,0.13,0.1,-0.1,0.03,-5.7,3.54,
Brashard Smith,22,KAN,17,44,336,13.1,151,92,2.09,59,1.34,25,35,89,39.33,172,0,1,0,14.7%,6,1,63.3,3.7,5.0,0.06,0.17,-1.2,-0.11,-7.8,4.45,
Devin Neal,22,NOR,9,57,300,19.0,206,96,1.68,110,1.93,17,19,77,24.68,104,2,0,2,14.7%,1,0,60.0,6.7,6.1,0.22,0.11,0.5,0.11,-4.8,4.27,
Kyle Juszczyk,34,SFO,16,2,405,0.49,-3,-3,-1.5,0,0.0,24,28,169,16.57,213,0,2,0,1.1%,5,2,57.0,3.6,3.3,0.12,0.15,0.3,-0.03,-7.9,4.29,
Ollie Gordon II,21,MIA,17,70,380,18.42,199,81,1.16,118,1.69,7,9,114,7.89,32,3,1,3,29.7%,2,1,54.1,3.2,3.5,0.24,0.22,-0.3,0.01,-8.3,4.18,
Malik Davis,27,DAL,10,52,383,13.58,250,154,2.96,96,1.85,2,5,82,6.1,16,2,0,1,10.4%,0,0,40.6,4.1,4.2,0.2,0.21,-0.2,-0.01,-7.4,4.66,
Zavier Scott,26,MIN,11,32,348,9.2,114,52,1.62,62,1.94,14,16,80,20.0,98,0,1,0,6.1%,3,1,39.2,3.6,3.8,0.09,0.09,-0.2,0.0,-7.9,4.52,
Jawhar Jordan,26,HOU,4,43,399,10.78,193,103,2.4,90,2.09,7,7,77,9.09,34,0,0,0,8.3%,0,0,29.7,7.4,8.9,0.0,0.25,-1.5,-0.25,-4.1,4.04,
Connor Heyward,26,PIT,14,15,368,4.08,43,33,2.2,10,0.67,3,4,136,2.94,21,2,1,2,8.2%,1,1,27.4,2.0,1.8,0.21,0.2,0.1,0.01,-9.5,4.21,
Jaret Patterson,26,LAC,6,41,359,11.42,159,65,1.59,94,2.29,3,4,70,5.71,8,1,0,1,9.8%,0,0,25.7,4.3,5.2,0.17,0.25,-0.9,-0.08,-7.2,4.0,
LeQuint Allen Jr.,21,JAX,16,23,373,6.17,94,59,2.57,35,1.52,10,11,78,14.1,54,0,0,0,4.8%,2,0,24.8,1.6,1.7,0.0,0.04,-0.2,-0.04,-9.9,4.2,
Andrew Beck,29,NYJ,11,1,334,0.3,5,5,5.0,0,0.0,6,9,93,9.68,45,0,2,0,2.2%,2,2,23.0,2.1,1.5,0.18,0.08,0.6,0.1,-9.4,4.19,
Jaydon Blue,21,DAL,5,38,383,9.92,129,85,2.24,44,1.16,1,1,82,1.22,5,1,0,1,9.1%,0,0,20.4,4.1,4.8,0.2,0.18,-0.7,0.02,-7.4,4.66,
Raheim Sanders,23,CLE,4,27,353,7.65,92,32,1.19,60,2.22,3,4,120,3.33,21,1,0,1,14.0%,0,0,20.3,5.1,7.6,0.25,0.6,-2.5,-0.35,-6.4,3.54,
Trayveon Williams,28,2TM,6,10,712,1.4,36,21,2.1,15,1.5,8,9,190,4.74,55,0,0,0,0.0%,2,0,17.1,2.9,2.7,0.0,0.04,0.1,-0.04,-8.7,3.77,
Adam Prentice,28,DEN,13,10,354,2.82,44,30,3.0,14,1.4,6,8,117,6.84,53,0,0,0,3.5%,1,0,15.7,1.2,1.7,0.0,0.09,-0.5,-0.09,-10.3,4.36,
C.J. Ham,32,MIN,8,3,348,0.86,5,3,1.0,2,0.67,2,2,80,2.5,11,2,0,2,4.1%,0,0,15.6,1.9,1.4,0.25,0.16,0.6,0.09,-9.6,4.52,
Alec Ingold,29,MIA,9,2,380,0.53,9,3,1.5,6,3.0,8,11,114,9.65,52,0,0,0,1.6%,0,0,14.1,1.6,1.8,0.0,0.01,-0.3,-0.01,-9.9,4.18,
Trevor Etienne,21,CAR,17,20,391,5.12,94,48,2.4,46,2.3,3,3,92,3.26,13,0,0,0,7.0%,0,0,13.7,0.8,1.1,0.0,0.06,-0.3,-0.06,-10.7,4.67,
Kene Nwangwu,27,NYJ,10,13,334,3.89,49,24,1.85,25,1.92,0,1,93,1.08,0,0,0,0,6.5%,0,0,10.9,1.1,1.2,0.0,0.09,-0.1,-0.09,-10.4,4.19,
Phil Mafah,23,DAL,1,5,383,1.31,18,11,2.2,7,1.4,2,2,82,2.44,11,1,0,1,1.3%,0,0,10.9,10.9,8.4,1.0,0.63,2.5,0.37,-0.6,4.66,
Brittain Brown,28,CHI,2,5,400,1.25,37,14,2.8,23,4.6,0,1,79,1.27,0,1,0,0,0.0%,0,0,9.7,4.8,2.2,0.5,0.05,2.7,0.45,-6.7,4.97,
DJ Giddens,22,IND,5,26,373,6.97,96,48,1.85,48,1.85,0,2,77,2.6,0,0,0,0,6.4%,0,0,9.6,1.9,3.7,0.0,0.2,-1.7,-0.2,-9.6,4.45,
Corey Kiner,23,ARI,4,12,292,4.11,58,29,2.42,29,2.42,2,3,124,2.42,15,0,0,0,5.1%,1,0,9.3,2.3,2.5,0.0,0.05,-0.2,-0.05,-9.2,4.07,
AJ Dillon,27,PHI,6,12,364,3.3,60,28,2.33,32,2.67,3,3,69,4.35,21,0,0,0,3.2%,1,0,9.1,1.5,1.9,0.0,0.05,-0.4,-0.05,-10.0,4.09,
Kaleb Johnson,22,PIT,10,28,368,7.61,69,35,1.25,34,1.21,1,2,136,1.47,9,0,0,0,5.5%,0,0,8.8,0.9,1.8,0.0,0.04,-0.9,-0.04,-10.6,4.21,
Evan Hull,25,NOR,6,19,300,6.33,48,28,1.47,20,1.05,1,1,77,1.3,6,0,0,0,8.8%,0,0,6.4,1.1,1.8,0.0,0.03,-0.7,-0.03,-10.4,4.27,
Tahj Brooks,23,CIN,12,16,334,4.79,45,25,1.56,20,1.25,1,2,111,1.8,9,0,0,0,0.0%,0,0,6.4,0.5,0.9,0.0,0.01,-0.4,-0.01,-11.0,4.64,
Reggie Gilliam,28,BUF,11,2,419,0.48,4,0,0.0,4,2.0,2,2,88,2.27,24,0,0,0,1.2%,0,0,4.8,0.4,0.8,0.0,0.07,-0.3,-0.07,-11.1,4.96,
Nate Carter,23,ATL,2,9,439,2.05,60,0,0.0,0,0.0,0,0,119,0.0,0,0,0,0,0.0%,0,0,4.0,2.0,2.4,0.0,0.01,-0.4,-0.01,-9.5,4.5,
Patrick Ricard,31,BAL,5,1,392,0.26,3,2,2.0,1,1.0,1,2,73,2.74,8,0,0,0,0.0%,0,0,2.1,0.4,0.6,0.0,0.0,-0.1,0.0,-11.1,4.47,
Jacardia Wright,25,SEA,1,5,435,1.15,20,12,2.4,8,1.6,0,0,63,0.0,0,0,0,0,0.0%,0,0,2.0,2.0,2.2,0.0,0.03,-0.2,-0.03,-9.5,4.13,
Jacob Saylors,25,DET,11,2,407,0.49,11,5,2.5,6,3.0,0,0,123,0.0,0,0,0,0,0.0%,0,0,1.1,0.1,0.1,0.0,0.0,0.0,0.0,-11.4,4.19,
Josh Williams,25,TAM,2,4,398,1.01,11,11,2.75,0,0.0,0,0,91,0.0,0,0,0,0,0.0%,0,0,1.1,0.6,1.0,0.0,0.01,-0.4,-0.01,-10.9,4.07,
Jack Westover,26,NWE,4,0,371,0.0,0,0,,0,,1,2,85,2.35,0,0,0,0,0.0%,0,0,1.0,0.2,0.6,0.0,0.0,-0.4,0.0,-11.2,4.09,
Amar Johnson,22,LAC,1,2,359,0.56,8,3,1.5,5,2.5,0,1,70,1.43,0,0,0,0,0.0%,0,0,0.8,0.8,2.3,0.0,0.01,-1.5,-0.01,-10.7,4.0,
Kalel Mullings,23,TEN,4,3,328,0.91,7,4,1.33,3,1.0,0,0,93,0.0,0,0,0,0,0.0%,0,0,0.7,0.2,0.2,0.0,0.0,-0.1,0.0,-11.3,4.44,
Owen Wright,26,TAM,2,3,398,0.75,6,6,2.0,0,0.0,0,0,91,0.0,0,0,0,0,0.0%,0,0,0.6,0.3,0.8,0.0,0.01,-0.5,-0.01,-11.2,4.07,
Kendall Milton,23,CIN,1,2,334,0.6,2,2,1.0,0,0.0,0,0,111,0.0,0,0,0,0,0.0%,0,0,0.2,0.2,0.9,0.0,0.01,-0.7,-0.01,-11.3,4.64,
Avery Williams,27,NYJ,1,0,334,0.0,0,0,,0,,0,0,93,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.19,
Brady Russell,27,SEA,10,0,435,0.0,0,0,,0,,0,1,63,1.59,0,0,0,0,0.0%,0,0,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,-11.5,4.13,
Chase Edmonds,29,WAS,3,0,345,0.0,0,0,,0,,0,0,55,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.45,
Elijah Mitchell,27,KAN,1,0,336,0.0,0,0,,0,,0,1,89,1.12,0,0,0,0,0.0%,0,0,0.0,0.0,1.8,0.0,0.11,-1.8,-0.11,-11.5,4.45,
Gary Brightwell,27,CIN,2,0,334,0.0,0,0,,0,,0,0,111,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.64,
Jakob Johnson,31,HOU,2,0,399,0.0,0,0,,0,,0,0,77,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.04,
Lew Nichols III,24,PIT,1,0,368,0.0,0,0,,0,,0,0,136,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.21,
Robbie Ouzts,23,SEA,4,0,435,0.0,0,0,,0,,0,0,63,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.13,
Ulysses Bentley IV,25,IND,1,1,373,0.27,0,0,0.0,0,0.0,0,0,77,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.5,0.0,0.01,-0.5,-0.01,-11.5,4.45,
Nyheim Hines,29,2TM,4,2,659,0.3,-2,-3,-1.5,1,0.5,0,0,147,0.0,0,0,0,0,0.0%,0,0,-0.2,-0.1,0.2,0.0,0.01,-0.3,-0.01,-11.6,4.12,
